Year;Country;Population;Type
1980;North America;320.27638;Region
1980;Bermuda;0.05473;State
1980;Canada;24.5933;State
1980;Greenland;0.05021;State
1980;Mexico;68.34748;State
1980;Saint Pierre and Miquelon;0.00599;State
1980;United States;227.22468;State
1980;Central & South America;293.05856;Region
1980;Antigua and Barbuda;0.06855;State
1980;Argentina;28.3698;State
1980;Bahamas - The;0.20976;State
1980;Barbados;0.25197;State
1980;Belize;0.14442;State
1980;Bolivia;5.4413;State
1980;Brazil;123.01963;State
1980;Cayman Islands;0.01708;State
1980;Chile;11.09372;State
1980;Colombia;26.63129;State
1980;Costa Rica;2.29912;State
1980;Cuba;9.65298;State
1980;Dominica;0.07389;State
1980;Dominican Republic;5.69686;State
1980;Ecuador;7.9205;State
1980;El Salvador;4.57041;State
1980;Falkland Islands (Islas Malvinas);0.002;State
1980;French Guiana;0.07;State
1980;Grenada;0.09016;State
1980;Guadeloupe;0.337;State
1980;Guatemala;6.64959;State
1980;Guyana;0.75935;State
1980;Haiti;5.5077;State
1980;Honduras;3.40247;State
1980;Jamaica;2.2288;State
1980;Martinique;0.339;State
1980;Montserrat;0.01177;State
1980;Netherlands Antilles;0.23244;State
1980;Nicaragua;2.80565;State
1980;Panama;1.95957;State
1980;Paraguay;3.1716;State
1980;Peru;17.2953;State
1980;Puerto Rico;3.20965;State
1980;Saint Kitts and Nevis;0.04357;State
1980;Saint Lucia;0.12248;State
1980;Saint Vincent/Grenadines;0.09814;State
1980;Suriname;0.35408;State
1980;Trinidad and Tobago;1.09051;State
1980;Turks and Caicos Islands;0.00747;State
1980;Uruguay;2.93049;State
1980;Venezuela;14.76789;State
1980;Virgin Islands -  U.S.;0.09964;State
1980;Virgin Islands - British;0.011;State
1980;Europe;529.50082;Continent
1980;Albania;2.67141;State
1980;Austria;7.54943;State
1980;Belgium;9.8468;State
1980;Bulgaria;8.84353;State
1980;Cyprus;0.63027;State
1980;Denmark;5.12303;State
1980;Faroe Islands;0.04345;State
1980;Finland;4.77954;State
1980;France;53.98766;State
1980;Germany;71.54;State
1980;Gibraltar;0.02883;State
1980;Greece;9.64251;State
1980;Hungary;10.71112;State
1980;Iceland;0.22816;State
1980;Ireland;3.401;State
1980;Italy;56.47271;State
1980;Luxembourg;0.3644;State
1980;Malta;0.364;State
1980;Netherlands;14.1439;State
1980;Norway;4.08562;State
1980;Poland;35.57802;State
1980;Portugal;9.7778;State
1980;Romania;22.13004;State
1980;Spain;37.48836;State
1980;Sweden;8.31047;State
1980;Switzerland;6.4103;State
1980;Turkey;45.04797;State
1980;United Kingdom;56.51888;State
1980;Eurasia;265.92182;Region
1980;Middle East;93.78699;Region
1980;Bahrain;0.34757;State
1980;Iran;39.70873;State
1980;Iraq;13.23284;State
1980;Israel;3.73747;State
1980;Jordan;2.16278;State
1980;Kuwait;1.36977;State
1980;Lebanon;2.8987;State
1980;Oman;1.18548;State
1980;Qatar;0.2369;State
1980;Saudi Arabia;10.02152;State
1980;Syria;8.75241;State
1980;United Arab Emirates;1.00029;State
1980;Yemen;9.13255;State
1980;Africa;478.96479;Continent
1980;Algeria;18.80606;State
1980;Angola;6.74308;State
1980;Benin;3.45806;State
1980;Botswana;0.90048;State
1980;Burkina Faso;6.31819;State
1980;Burundi;4.29821;State
1980;Cameroon;8.76249;State
1980;Cape Verde;0.29645;State
1980;Central African Republic;2.34878;State
1980;Chad;4.52239;State
1980;Comoros;0.33351;State
1980;Congo (Brazzaville);1.67429;State
1980;Congo (Kinshasa);29.01255;State
1980;Cote dIvoire (IvoryCoast);8.59326;State
1980;Djibouti;0.32687;State
1980;Egypt;42.63422;State
1980;Equatorial Guinea;0.25601;State
1980;Ethiopia;38.6052;State
1980;Gabon;0.71383;State
1980;Gambia - The;0.67052;State
1980;Ghana;11.01119;State
1980;Guinea;4.44737;State
1980;Guinea-Bissau;0.7889;State
1980;Kenya;16.33054;State
1980;Lesotho;1.35857;State
1980;Liberia;1.8571;State
1980;Libya;3.06862;State
1980;Madagascar;8.69125;State
1980;Malawi;6.25893;State
1980;Mali;6.82161;State
1980;Mauritania;1.54491;State
1980;Mauritius;0.9637;State
1980;Morocco;19.48727;State
1980;Mozambique;12.10262;State
1980;Niger;6.09347;State
1980;Nigeria;74.82127;State
1980;Reunion;0.51;State
1980;Rwanda;5.13984;State
1980;Saint Helena;0.00647;State
1980;Sao Tome and Principe;0.09407;State
1980;Senegal;5.61133;State
1980;Seychelles;0.06395;State
1980;Sierra Leone;3.33503;State
1980;Somalia;5.79356;State
1980;South Africa;30.30961;State
1980;Sudan;19.48245;State
1980;Swaziland;0.61146;State
1980;Tanzania;18.66506;State
1980;Togo;2.62551;State
1980;Tunisia;6.44318;State
1980;Uganda;12.41472;State
1980;Western Sahara;0.12404;State
1980;Zambia;5.64278;State
1980;Zimbabwe;7.16997;State
1980;Asia & Oceania;2469.81743;Region
1980;Afghanistan;15.0436;State
1980;American Samoa;0.03242;State
1980;Australia;14.6159;State
1980;Bangladesh;87.93733;State
1980;Bhutan;0.44604;State
1980;Brunei;0.18522;State
1980;Burma (Myanmar);33.33642;State
1980;Cambodia;6.88852;State
1980;China;984.73646;State
1980;Cook Islands;0.01801;State
1980;Fiji;0.63451;State
1980;French Polynesia;0.1509;State
1980;Guam;0.10687;State
1980;Hong Kong;5.0631;State
1980;India;684.8877;State
1980;Indonesia;151.0244;State
1980;Japan;116.80731;State
1980;Kiribati;0.05754;State
1980;Korea - North;17.11363;State
1980;Korea - South;38.124;State
1980;Laos;3.29316;State
